isin,goesto,count
Anarchy,Anarchy,41
Anarchy,Bedlam,2
Anarchy,Chaos,2
Bedlam,Anarchy,2
Bedlam,Bedlam,35
Bedlam,Chaos,1
Bedlam,Destruction,2
Bedlam,Endbringer,1
Chaos,Anarchy,1
Chaos,Bedlam,6
Chaos,Chaos,32
Chaos,Destruction,1
Chaos,Endbringer,3
Chaos,Fire,2
Chaos,Guerrillas,2
Destruction,Anarchy,2
Destruction,Chaos,6
Destruction,Destruction,32
Destruction,Endbringer,2
Destruction,Fire,3
Destruction,Guerrillas,1
Endbringer,Bedlam,1
Endbringer,Chaos,2
Endbringer,Destruction,6
Endbringer,Endbringer,29
Endbringer,Fire,7
Endbringer,Guerrillas,1
Fire,Chaos,2
Fire,Destruction,4
Fire,Endbringer,4
Fire,Fire,33
Fire,Guerrillas,2
Guerrillas,Chaos,1
Guerrillas,Destruction,4
Guerrillas,Endbringer,6
Guerrillas,Guerrillas,36
