isin,goesto,count
Anarchy,Anarchy,39
Anarchy,Bedlam,5
Anarchy,Chaos,2
Anarchy,Destruction,1
Bedlam,Anarchy,3
Bedlam,Bedlam,37
Bedlam,Destruction,5
Bedlam,Endbringer,3
Chaos,Anarchy,5
Chaos,Bedlam,2
Chaos,Chaos,30
Chaos,Destruction,2
Chaos,Endbringer,3
Chaos,Fire,2
Chaos,Guerrillas,1
Destruction,Bedlam,2
Destruction,Chaos,5
Destruction,Destruction,32
Destruction,Endbringer,3
Destruction,Fire,1
Destruction,Guerrillas,1
Endbringer,Chaos,6
Endbringer,Destruction,3
Endbringer,Endbringer,35
Endbringer,Fire,3
Fire,Chaos,1
Fire,Destruction,4
Fire,Endbringer,3
Fire,Fire,35
Guerrillas,Bedlam,3
Guerrillas,Chaos,3
Guerrillas,Destruction,1
Guerrillas,Guerrillas,35
