isin,goesto,count
Anarchy,Anarchy,34
Anarchy,Bedlam,2
Anarchy,Chaos,2
Anarchy,Destruction,2
Bedlam,Anarchy,5
Bedlam,Bedlam,32
Bedlam,Destruction,1
Bedlam,Endbringer,1
Bedlam,Fire,2
Chaos,Anarchy,2
Chaos,Bedlam,7
Chaos,Chaos,33
Destruction,Anarchy,1
Destruction,Bedlam,3
Destruction,Chaos,5
Destruction,Destruction,27
Destruction,Endbringer,10
Endbringer,Bedlam,1
Endbringer,Chaos,4
Endbringer,Destruction,11
Endbringer,Endbringer,26
Endbringer,Fire,2
Fire,Chaos,3
Fire,Destruction,4
Fire,Endbringer,10
Fire,Fire,25
Guerrillas,Chaos,2
Guerrillas,Destruction,2
Guerrillas,Endbringer,2
Guerrillas,Fire,15
Guerrillas,Guerrillas,13
